data;stazione;numPassaggio;codiceSpecie;lunghezza;peso;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;52;1;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;55;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;58;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;60;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;63;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;66;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;BA;210;75;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;SZ;85;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;SZ;98;13;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;124;21;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;87;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;88;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;94;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;96;8;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;76;4;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;85;5;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;57;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;58;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;BA;124;17;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;BA;146;30;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;BA;252;127;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;BA;209;55;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;BA;142;52;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;BA;162;39;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;BA;142;28;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;BA;164;37;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;SZ;86;9;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;SZ;90;12;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;92;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;93;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;96;8;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;99;9;;;;;;;;;;;;;;;;;;;;;
